p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity,n_cells,prop
4.108223859629351e-5,0.3052778007324346,0.425,0.178,0.8942781697641171,13,Mapk1,0.0029805505023279334,40,0.004089143324473523
4.2100774865072734e-5,-0.8646076847256643,0.675,0.782,0.9164496672629032,13,Nlgn1,0.003051746420769833,40,0.004089143324473523
4.4066552782731794e-5,0.28776795367566255,0.45,0.192,0.9592407209745056,13,Ndrg4,0.0027579478283677535,40,0.004089143324473523
4.6559709917733566e-5,0.3790568700278765,0.55,0.277,1,13,Atp8a1,0.003077652809814713,40,0.004089143324473523
4.843118056794497e-5,0.1342360779526679,0.125,0.025,1,13,Mme,0.0027445528103182968,40,0.004089143324473523
5.155596234300406e-5,0.2738217548969258,0.375,0.147,1,13,Smpd3,0.0028563683702356865,40,0.004089143324473523
5.3475936037389063e-5,0.11341888595596888,0.1,0.017,1,13,Rbak,0.0027281534139769054,40,0.004089143324473523
5.422912938183638e-5,0.23787073332267017,0.25,0.079,1,13,Arel1,0.0030781250672595514,40,0.004089143324473523
5.943580406689986e-5,0.3795733271508039,0.6,0.315,1,13,Ftx,0.002956437594032217,40,0.004089143324473523
6.0309729498521494e-5,0.2675271819355063,0.35,0.134,1,13,1110008P14Rik,0.0028573503473460905,40,0.004089143324473523
6.123485554854479e-5,0.18225981545985503,0.2,0.055,1,13,Lzts1,0.0027101327552997907,40,0.004089143324473523
6.42351666263302e-5,0.29067300531566054,0.35,0.136,1,13,Pds5a,0.0030589062702346802,40,0.004089143324473523
7.12369685089669e-5,0.2833323896673047,0.375,0.15,1,13,Rapgef5,0.002896466874537975,40,0.004089143324473523
7.13724546900864e-5,0.2650660180814364,0.35,0.135,1,13,2610037D02Rik,0.0028100928032138467,40,0.004089143324473523
7.245637136835246e-5,0.24808234335771692,0.375,0.148,1,13,Cab39l,0.0025703824111341805,40,0.004089143324473523
9.653676129396125e-5,0.3379921383464671,0.475,0.224,1,13,Polb,0.0029307887978388117,40,0.004089143324473523
9.871066589343522e-5,0.1505686907915817,0.15,0.035,1,13,Twf2,0.002638701243536204,40,0.004089143324473523
1.2160047749254193e-4,0.13192637957518766,0.125,0.026,1,13,Mxd1,0.0025935859344319166,40,0.004089143324473523
1.2799731659301087e-4,0.13134953229005794,0.125,0.027,1,13,Junb,0.002486606773780601,40,0.004089143324473523
1.312932480567206e-4,0.14956845648357914,0.15,0.036,1,13,Gad1os,0.0025483618974234843,40,0.004089143324473523
1.3852181823907023e-4,0.2828160443873684,0.575,0.279,1,13,Cacna2d1,0.0023834169192736687,40,0.004089143324473523
1.4217975531474996e-4,0.28920139069261663,0.4,0.175,1,13,Rragb,0.0027030535684095373,40,0.004089143324473523
1.456460168819971e-4,0.13120535650011245,0.125,0.027,1,13,D830036C21Rik,0.0024838773503129794,40,0.004089143324473523
1.4735595242226004e-4,0.21355926960027083,0.275,0.096,1,13,Slk,0.002501567468312312,40,0.004089143324473523
1.4836257591151753e-4,0.4830815838559147,0.7,0.461,1,13,Dclk1,0.002999507339827238,40,0.004089143324473523
1.5227472476250607e-4,0.4013370376211092,0.55,0.289,1,13,Pigk,0.0031232476385425114,40,0.004089143324473523
1.523745134852735e-4,0.11109054969770502,0.1,0.018,1,13,Mospd3,0.0025236954428248036,40,0.004089143324473523
1.5674342353383811e-4,0.16553309824618206,0.175,0.047,1,13,Qtrt2,0.002520329758356152,40,0.004089143324473523
1.5740035350297473e-4,0.1911545838265331,0.225,0.071,1,13,Fads2,0.0024770867653419156,40,0.004089143324473523
1.5796104565944262e-4,0.13134953229005794,0.125,0.027,1,13,Fam222a,0.002486606773780601,40,0.004089143324473523
1.7602780606503236e-4,0.35584766015939107,0.65,0.34,1,13,C130073E24Rik,0.002781831925428508,40,0.004089143324473523
1.9046797834047492e-4,0.16426144101013365,0.175,0.048,1,13,Arl5b,0.0024488645962629815,40,0.004089143324473523
1.922328810905312e-4,0.18839687479438455,0.225,0.071,1,13,Nectin3,0.0024413508472726003,40,0.004089143324473523
1.942930406748114e-4,0.29859406089472434,0.4,0.176,1,13,Ripor2,0.0027749861609888695,40,0.004089143324473523
2.0412326810623603e-4,0.4144423855715452,0.825,0.532,1,13,Lrrc7,0.0026280814085140637,40,0.004089143324473523
2.0446412071300127e-4,0.1301965291990055,0.125,0.028,1,13,B9d2,0.002376751197516676,40,0.004089143324473523
2.061328233179192e-4,0.24937623396606023,0.325,0.129,1,13,Abl2,0.0025691002153605843,40,0.004089143324473523
2.31508960539282e-4,0.2269546117001771,0.25,0.087,1,13,Sh3bgrl,0.0026668101591731603,40,0.004089143324473523
2.3454810637590863e-4,0.24791754586624415,0.25,0.087,1,13,Gm4258,0.002913133269249456,40,0.004089143324473523
